College Name,Undergraduate Pop.,Admit Rate
Lawrence Technological University,2191,60%
Lawrence University,1467,61%
Lawson State Community College-Birmingham Campus,3248,open admission
LDS Business College,2045,open admission
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
Le Moyne College,2788,64%
Le Moyne-Owen College,863,100%
Learnet Academy Inc,131,open admission
Learning Bridge Career Institute,48,open admission
Lebanon College of Cosmetology,14,open admission
Lebanon County Area Vocational Technical School,165,open admission
Lebanon Valley College,1756,73%
Lee College,7717,open admission
Lee Professional Institute,15,open admission
Lee University,4860,85%
Leech Lake Tribal College,181,open admission
Lees-McRae College,921,71%
Leeward Community College,6805,open admission
LeGrand Institute of Cosmetology Inc,23,open admission
Lehigh Carbon Community College,6956,open admission
Lehigh University,5075,25%
LeMelange Academy of Hair,58,open admission
Lenape Technical School Practical Nursing Program,168,open admission
Lenoir Community College,2664,open admission
Lenoir-Rhyne University,1699,74%
Leon Studio One School of Beauty Knowledge,32,open admission
-9999,-9999,-9999
Leons Beauty School Inc,176,open admission
Lesley University,2096,73%
-9999,-9999,-9999
Leston College,9,open admission
LeTourneau University,2611,47%
Levittown Beauty Academy,91,open admission
Lewis & Clark College,2106,71%
Lewis and Clark Community College,7000,open admission
Lewis University,4506,54%
Lewis-Clark State College,3746,100%
Lex La-Ray Technical Center,31,76%
Lexington Healing Arts Academy,120,open admission
Lexington Theological Seminary,0,not reported
Lia Schorr Institute of Cosmetic Skin Care Training,11,open admission
Liberty Technical College,135,open admission
Liberty University,45754,30%
