College Name,Undergraduate Pop.,Admit Rate
Educational Technical College-Recinto de Bayamon,383,open admission
A T Still University of Health Sciences,0,not reported
Aaniiih Nakoda College,122,open admission
ABC Beauty Academy,-9999,open admission
ABCO Technology,50,not reported
Abcott Institute,151,open admission
Abdill Career College Inc,20,open admission
Abilene Christian University,3666,58%
-9999,-9999,-9999
Abraham Baldwin Agricultural College,3394,70%
Abraham Lincoln University,30,open admission
Academia Serrant Inc,319,open admission
Academy College,65,open admission
Academy Di Capelli-School of Cosmetology,84,open admission
Academy di Firenze,15,open admission
Academy for Careers and Technology,39,open admission
Academy for Five Element Acupuncture,0,not reported
Academy for Jewish Religion-California,0,not reported
Academy for Nursing and Health Occupations,408,open admission
Academy for Salon Professionals,85,open admission
-9999,-9999,-9999
Academy of Art University,7652,open admission
Academy of Career Training,50,open admission
Academy of Careers and Technology,146,open admission
Academy of Chinese Culture and Health Sciences,0,not reported
Academy of Cosmetology,124,open admission
Academy of Cosmetology,24,open admission
Academy of Cosmetology,31,open admission
Academy of Cosmetology and Esthetics,27,open admission
Academy of Cosmetology and Esthetics NYC,87,open admission
Academy of Esthetics and Cosmetology,35,open admission
Academy of Hair Design-Beaumont,60,open admission
Academy of Hair Design-Grenada,29,open admission
Academy of Hair Design-Jackson,57,open admission
Academy of Hair Design-Jasper,42,open admission
Academy of Hair Design-Las Vegas,239,open admission
Academy of Hair Design-Lufkin,80,open admission
Academy of Hair Design-Oklahoma City,46,open admission
Academy of Hair Design-Pearl,52,open admission
-9999,-9999,-9999
Academy of Hair Design-Springfield,200,open admission
Academy of Hair Technology,87,open admission
Academy of Interactive Entertainment,142,65%
Academy of Interactive Entertainment,61,57%
Academy of Massage and Bodywork,95,open admission
Academy of Natural Therapy Inc,50,open admission
Academy of Professional Cosmetology,67,open admission
Academy of Salon and Spa,58,open admission
Academy of Salon Professionals,53,open admission
Academy of Vocal Arts,0,not reported
Acaydia School of Aesthetics,88,open admission
Access Careers,47,open admission
Ace Cosmetology and Barber Training Center,62,open admission
Ace Institute of Technology,215,open admission
Acupuncture and Integrative Medicine College-Berkeley,0,not reported
Acupuncture and Massage College,37,open admission
Adams State University,1960,99%
Adelphi University,5266,73%
-9999,-9999,-9999
Adirondack Community College,3892,open admission
Adler Graduate School,0,not reported
Adler University,0,not reported
Adrian College,1671,60%
Adrian's College of Beauty Turlock,119,open admission
Adult and Community Education-Hudson,129,83%
Adult and Continuing Education-BCTS,78,open admission
Advance Beauty College,364,open admission
Advance Beauty Techs Academy,81,open admission
Advance Science College,69,open admission
Advanced Barber College and Hair Design,232,open admission
Advanced Beauty College,48,open admission
Advanced Career Institute,352,open admission
Advanced College,44,open admission
Advanced College of Cosmetology,21,open admission
Advanced College-Stockton,14,80%
Advanced Computing Institute,-9999,open admission
-9999,-9999,-9999
Advanced Technical Centers,-9999,open admission
Advanced Technology Institute,464,80%
Advanced Training Associates,101,open admission
Advanced Training Institute,448,open admission
Advanced Welding Institute,42,open admission
Advantage Technical College,95,open admission
Adventist University of Health Sciences,1491,97%
Advertising Art Educational Services DBA School of Advertising Art,211,49%
Aesthetic Science Institute,70,open admission
Aesthetics Institute of Cosmetology,25,open admission
Agnes Scott College,921,66%
AI Miami International University of Art and Design,1419,open admission
Aiken School of Cosmetology and Barbering,66,open admission
Aiken Technical College,2399,open admission
Ailano School of Cosmetology,19,open admission
Aims Community College,5982,open admission
Air Force Institute of Technology-Graduate School of Engineering & Management,0,not reported
Akron School of Practical Nursing,70,84%
Alabama A & M University,5038,90%
Alabama College of Osteopathic Medicine,0,not reported
Alabama School of Nail Technology & Cosmetology,25,open admission
Alabama Southern Community College,982,open admission
Alabama State College of Barber Styling,13,open admission
Alabama State University,4208,98%
Alamance Community College,4184,open admission
Alamo City Barber College,175,open admission
-9999,-9999,-9999
Alaska Bible College,42,open admission
Alaska Career College,430,open admission
Alaska Christian College,74,open admission
Alaska Pacific University,296,86%
Albany BOCES-Adult Practical Nursing Program,142,open admission
Albany College of Pharmacy and Health Sciences,890,79%
Albany Law School,0,not reported
Albany Medical College,0,not reported
Albany State University,6262,open admission
Albany Technical College,3167,open admission
Albert I Prince Technical High School,-9999,open admission
Albertus Magnus College,1128,64%
Albion College,1568,71%
Albright College,2015,50%
Alcorn State University,3172,79%
Alderson Broaddus University,952,41%
Alexander Academy,74,open admission
Alexander Paul Institute of Hair Design,46,open admission
Alexandria School of Scientific Therapeutics,33,open admission
Alexandria Technical & Community College,2794,open admission
Alfred University,1707,63%
Alhambra Beauty College,121,open admission
Alhambra Medical University,42,not reported
Alice Lloyd College,598,26%
All Beauty College,21,open admission
All Beauty College,25,open admission
All Beauty College,7,open admission
All-State Career School-Allied Health Campus,355,open admission
All-State Career School-Lester,306,open admission
All-State Career School-Pittsburgh,189,open admission
All-State Career-Baltimore,561,open admission
Allan Hancock College,11739,open admission
Allegany College of Maryland,2717,open admission
Allegheny College,1802,68%
Allegheny Wesleyan College,84,open admission
Allen College,329,not reported
Allen County Community College,2556,open admission
Allen School-Brooklyn,67,open admission
Allen School-Jamaica,54,open admission
Allen School-Phoenix,31,open admission
Allen University,590,open admission
Allgood Beauty Institute,5,open admission
Alliance Computing Solutions,23,open admission
Alliant International University-San Diego,1194,80%
Allied Health Careers Institute,88,open admission
Allstate Hairstyling & Barber College,46,open admission
Alma College,1426,64%
Alpena Community College,1611,open admission
Altierus Career College Everett,228,open admission
Altierus Career College-Arlington,210,open admission
Altierus Career College-Atlanta West,324,open admission
Altierus Career College-Austin,161,open admission
Altierus Career College-Bissonnet,310,open admission
Altierus Career College-Chesapeake,175,open admission
Altierus Career College-Colorado Springs,87,open admission
Altierus Career College-Columbus,140,open admission
Altierus Career College-Fort Worth South,191,open admission
Altierus Career College-Henderson,272,open admission
Altierus Career College-Houston Hobby,255,open admission
Altierus Career College-Norcross,279,open admission
Altierus Career College-Orange Park,265,open admission
Altierus Career College-San Antonio,134,open admission
Altierus Career College-Tacoma,270,open admission
Altierus Career College-Tampa,1188,open admission
Altierus Career College-Thornton,125,open admission
Altierus Career College-Tigard,165,open admission
Altierus Career College-Woodbridge,224,open admission
Altierus Career Education-South Plainfield,207,open admission
Altierus Career Education-Southfield,487,open admission
Altoona Beauty School Inc,53,open admission
Alvernia University,2251,71%
Alverno College,1312,89%
Alvin Community College,5785,open admission
Amarillo College,10259,open admission
Amberton University,217,not reported
Ambiance Beauty & Barber Academy Inc,34,open admission
Ambria College of Nursing,317,open admission
America Evangelical University,14,open admission
American Academy McAllister Institute of Funeral Service,480,open admission
American Academy of Acupuncture and Oriental Medicine,0,not reported
American Academy of Art,260,open admission
American Academy of Cosmetology,83,open admission
-9999,-9999,-9999
American Academy of Dramatic Arts-Los Angeles,280,79%
American Academy of Dramatic Arts-New York,269,79%
American Academy of Personal Training,64,open admission
American Academy of Personal Training-Boston Campus,40,open admission
American Advanced Technicians Institute,68,open admission
American Baptist College,115,open admission
American Baptist Seminary of the West,0,not reported
American Barber Academy,49,open admission
American Beauty Academy,20,open admission
American Beauty Academy-West Valley Campus,18,open admission
American Beauty College,118,open admission
American Beauty School,167,open admission
American Beauty Schools,33,open admission
American Broadcasting School-Oklahoma City,-9999,open admission
American Broadcasting School-Online Program,-9999,open admission
American Business and Technology University,867,open admission
American Career College-Anaheim,948,open admission
American Career College-Long Beach,381,open admission
American Career College-Los Angeles,1237,open admission
American Career College-Lynwood,314,open admission
American Career College-Ontario,1275,open admission
American College for Medical Careers,481,open admission
American College of Acupuncture and Oriental Med,0,not reported
American College of Barbering,80,open admission
American College of Education,9,not reported
American College of Financial Services,8354,not reported
American College of Hair Design Inc,13,open admission
American College of Hairstyling-Des Moines,26,open admission
American College of Healthcare,65,open admission
American College of Healthcare,46,open admission
American College of Healthcare Sciences,418,79%
American Conservatory Theater,13,not reported
American Educational College,329,open admission
American Film Institute Conservatory,0,not reported
American Hair Academy,24,open admission
American Indian OIC Inc,36,open admission
American Institute of Alternative Medicine,389,36%
American Institute of Alternative Medicine,37,open admission
American Institute of Beauty,82,open admission
American Institute of Interior Design,24,open admission
American Institute of Massage Therapy,15,open admission
American Institute of Medical Sciences & Education,406,open admission
American Institute of Medical Technology,102,open admission
American Institute of Trucking,244,open admission
American Institute-Clifton,652,open admission
American Institute-Margate,189,open admission
American Institute-Somerset,64,open admission
American Institute-Toms River,383,open admission
American Institute-West Hartford,405,open admission
American InterContinental University,8698,open admission
American InterContinental University-Atlanta,1904,open admission
American InterContinental University-Houston,285,open admission
American International College,1372,72%
American Islamic College,16,not reported
American Jewish University,67,83%
American Medical Academy,371,open admission
American Medical Sciences Center,105,open admission
American Musical and Dramatic Academy,1515,21%
American National University,917,open admission
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
American National University-Dayton,22,open admission
American National University-Lexington,233,open admission
-9999,-9999,-9999
-9999,-9999,-9999
American National University-Youngstown,34,open admission
American Public University System,37910,open admission
American River College,31858,open admission
American Samoa Community College,1095,open admission
American Sentinel University,1421,not reported
American Technical Institute,7,open admission
American Trade School,80,open admission
American University,8123,29%
American University of Health Sciences,249,100%
American University of Puerto Rico,652,open admission
American University of Puerto Rico,473,open admission
AmeriTech College-Draper,604,86%
AmeriTech College-Provo,2,50%
AMG School of Licensed Practical Nursing,163,open admission
Amherst College,1836,13%
Amridge University,322,open admission
Anabaptist Mennonite Biblical Seminary,0,not reported
Ancilla College,548,open admission
Anderson University,1566,65%
Anderson University,2983,79%
Andover Newton Theological School,0,not reported
Andrew College,285,41%
Andrews University,1704,58%
Angeles College,156,open admission
Angeles Institute,96,open admission
Angelina College,5215,open admission
Angelo State University,8719,74%
Ann Webb Skin Institute,84,open admission
Anna Maria College,1120,79%
Anne Arundel Community College,13354,open admission
Annenberg School of Nursing,7,not reported
Anoka Technical College,1864,open admission
Anoka-Ramsey Community College,8954,open admission
Anson College of Cosmetology,2,open admission
Antelope Valley College,14125,open admission
Antilles School of Technical Careers,444,open admission
Antioch College,133,97%
Antioch University Online,106,not reported
Antioch University-Los Angeles,255,not reported
Antioch University-Midwest,41,not reported
Antioch University-New England,0,not reported
Antioch University-PhD Program in Leadership and Change,0,not reported
Antioch University-Santa Barbara,103,not reported
Antioch University-Seattle,89,not reported
-9999,-9999,-9999
Antonelli College-Cincinnati,117,open admission
Antonelli College-Hattiesburg,192,open admission
Antonelli College-Jackson,270,open admission
Antonelli Institute,71,open admission
-9999,-9999,-9999
AOMA Graduate School of Integrative Medicine,0,not reported
Aparicio-Levy Technical College,261,open admission
Apex Academy Hair Skin Nails School of Cosmetology,26,open admission
Apex School of Theology,646,open admission
Apex Technical School,1094,open admission
Apollo Career Center,521,open admission
Appalachian Beauty School,21,open admission
Appalachian Bible College,274,59%
Appalachian College of Pharmacy,0,not reported
Appalachian School of Law,0,not reported
Appalachian State University,17017,70%
Applied Technology Services,169,27%
Aquinas College,1551,75%
-9999,-9999,-9999
Aquinas Institute of Theology,0,not reported
Arapahoe Community College,12421,open admission
Arcadia University,2390,62%
Arclabs,217,open admission
Argosy University-Atlanta,455,open admission
Argosy University-Chicago,143,open admission
Argosy University-Dallas,257,open admission
Argosy University-Denver,218,open admission
Argosy University-Hawaii,389,open admission
Argosy University-Inland Empire,245,open admission
Argosy University-Los Angeles,219,open admission
Argosy University-Nashville,123,open admission
Argosy University-Northern Virginia,55,open admission
Argosy University-Orange County,146,open admission
Argosy University-Phoenix,111,open admission
Argosy University-Phoenix Online Division,4534,open admission
Argosy University-Salt Lake City,46,open admission
Argosy University-San Diego,146,open admission
Argosy University-San Francisco Bay Area,92,open admission
Argosy University-Sarasota,102,open admission
Argosy University-Schaumburg,44,open admission
Argosy University-Seattle,10,not reported
Argosy University-Tampa,135,open admission
Argosy University-The Art Institute of California-Hollywood,987,open admission
Argosy University-The Art Institute of California-Inland Empire,824,open admission
-9999,-9999,-9999
Argosy University-The Art Institute of California-Orange County,558,open admission
Argosy University-The Art Institute of California-Sacramento,423,open admission
Argosy University-The Art Institute of California-San Diego,846,open admission
Argosy University-The Art Institute of California-San Francisco,472,open admission
-9999,-9999,-9999
Argosy University-Twin Cities,1067,open admission
Aria Health School of Nursing,200,not reported
Arizona Academy of Beauty-East,54,open admission
Arizona Automotive Institute,785,open admission
-9999,-9999,-9999
Arizona Christian University,786,64%
Arizona College-Glendale,535,open admission
Arizona College-Las Vegas,161,50%
Arizona College-Mesa,618,open admission
Arizona Culinary Institute,30,open admission
Arizona School of Acupuncture and Oriental Medicine,0,not reported
Arizona School of Integrative Studies,206,open admission
Arizona State University-Downtown Phoenix,8902,77%
Arizona State University-Polytechnic,4239,76%
Arizona State University-Skysong,24346,63%
Arizona State University-Tempe,42427,84%
Arizona State University-West,3630,80%
Arizona Summit Law School,0,not reported
Arizona Western College,7557,open admission
Arkansas Baptist College,593,open admission
Arkansas Beauty College,27,open admission
Arkansas Beauty School-Little Rock,129,open admission
Arkansas College of Barbering and Hair Design,127,open admission
Arkansas Colleges of Health Education,0,not reported
Arkansas Northeastern College,1474,open admission
Arkansas State University Mid-South,1561,open admission
Arkansas State University-Beebe,3739,open admission
Arkansas State University-Main Campus,9604,66%
Arkansas State University-Mountain Home,1410,open admission
Arkansas State University-Newport,2512,open admission
-9999,-9999,-9999
Arkansas Tech University,10781,95%
Arlington Baptist University,160,open admission
Arlington Career Institute,232,open admission
Armstrong State University,6281,80%
Arnolds Beauty School,54,open admission
Arnot Ogden Medical Center,68,82%
Arrojo Cosmetology School,66,open admission
Art Academy of Cincinnati,175,45%
Art Center College of Design,2005,70%
Arthur's Beauty College Inc-Fort Smith,41,open admission
Arthur's Beauty College Inc-Jacksonville,59,open admission
Arthur's Beauty College-Jonesboro,65,open admission
Arthur's Beauty School Inc-Conway,70,open admission
Artistic Academy of Hair Design,131,open admission
Artistic Nails and Beauty Academy-Lakeland,145,open admission
Artistic Nails and Beauty Academy-Tampa,139,open admission
ASA College,4686,open admission
Asbury Theological Seminary,0,not reported
Asbury University,1733,70%
Asher College,587,open admission
Asheville-Buncombe Technical Community College,7262,open admission
Ashford University,31546,open admission
Ashland Community and Technical College,2603,open admission
Ashland County-West Holmes Career Center,44,open admission
Ashland University,4813,74%
Ashtabula County Technical and Career Campus,156,open admission
ASI Career Institute,57,open admission
Asian-American International Beauty College,468,open admission
ASM Beauty World Academy,99,open admission
Asnuntuck Community College,1870,open admission
Aspen Beauty Academy of Laurel,59,open admission
Aspen University,3130,open admission
Assabet Valley Regional Technical School,49,26%
Associated Barber College of San Diego,75,open admission
Associated Beth Rivkah Schools,144,97%
Associated Technical College-Los Angeles,387,open admission
Associated Technical College-San Diego,80,open admission
Assumption College,2084,79%
Assumption College for Sisters,47,open admission
Astrodome Career Centers,82,open admission
ATA Career Education,251,open admission
ATA College,289,open admission
Atelier Esthetique Institute of Esthetics,115,open admission
Atenas College,932,not reported
Athena Career Academy,219,50%
Athenaeum of Ohio,53,open admission
Athens State University,2967,not reported
Athens Technical College,4493,open admission
ATI College-Norwalk,45,open admission
Atlanta Institute of Music and Media,147,open admission
Atlanta Metropolitan State College,2501,open admission
Atlanta School of Massage,282,open admission
Atlanta Technical College,4098,open admission
Atlanta's John Marshall Law School,0,not reported
Atlantic Beauty & Spa Academy LLC,128,open admission
Atlantic Cape Community College,5528,open admission
Atlantic Institute of Oriental Medicine,43,not reported
Atlantic Technical College,3907,open admission
Atlantic University College,1540,open admission
Atlantis University,197,open admission
Auburn Career Center,98,open admission
Auburn University,23964,84%
Auburn University at Montgomery,4313,83%
Augsburg University,2427,65%
Augusta School of Massage,40,open admission
Augusta Technical College,4595,open admission
Augusta University,5291,75%
Augustana College,2647,59%
Augustana University,1749,68%
Auguste Escoffier School of Culinary Arts-Austin,490,open admission
Auguste Escoffier School of Culinary Arts-Boulder,1064,open admission
Aultman College of Nursing and Health Sciences,394,88%
Aurora University,3933,87%
Austin College,1214,52%
Austin Community College District,40803,open admission
Austin Graduate School of Theology,22,not reported
Austin Kade Academy,115,open admission
Austin Peay State University,9591,90%
Austin Presbyterian Theological Seminary,0,not reported
Austin's Beauty College Inc,23,open admission
-9999,-9999,-9999
Automeca Technical College-Aguadilla,211,open admission
Automeca Technical College-Bayamon,528,open admission
Automeca Technical College-Caguas,190,open admission
Automeca Technical College-Ponce,230,open admission
Automotive Training Center-Exton,304,open admission
Automotive Training Center-Warminster,285,open admission
Autry Technology Center,722,74%
Avalon School of Cosmetology,18,open admission
Avalon School of Cosmetology-Alameda,125,open admission
Avalon School of Cosmetology-Layton,175,open admission
Avalon School of Cosmetology-Mesa,298,open admission
Avalon School of Cosmetology-Phoenix,342,open admission
-9999,-9999,-9999
Ave Maria School of Law,0,not reported
Ave Maria University,1072,42%
Aveda Fredric's Institute-Cincinnati,213,open admission
Aveda Fredric's Institute-Indianapolis,216,open admission
Aveda Institute Portland-Vancouver Campus,129,open admission
Aveda Institute-Baton Rouge,135,open admission
Aveda Institute-Boise,62,open admission
Aveda Institute-Chapel Hill,254,open admission
Aveda Institute-Chicago,113,open admission
Aveda Institute-Columbus,267,open admission
Aveda Institute-Covington,2265,open admission
Aveda Institute-Denver,417,open admission
Aveda Institute-Des Moines,138,open admission
Aveda Institute-Lafayette,143,open admission
Aveda Institute-Los Angeles,159,open admission
Aveda Institute-Madison,75,open admission
Aveda Institute-Maryland,37,open admission
Aveda Institute-Minneapolis,443,open admission
Aveda Institute-New Mexico,85,open admission
Aveda Institute-New York,203,open admission
Aveda Institute-Phoenix,154,open admission
Aveda Institute-Portland,267,open admission
Aveda Institute-Provo,118,open admission
Aveda Institute-San Antonio,183,open admission
Aveda Institute-South Florida,450,open admission
Aveda Institute-Tallahassee,513,open admission
Aveda Institute-Tucson,148,open admission
Aveda Institute-Twin Falls,66,open admission
Avenue Five Institute,295,open admission
Avera McKennan Hospital School of Radiologic Technology,20,not reported
Avera Sacred Heart Hospital,16,not reported
Averett University,927,61%
Averett University-Non-Traditional Programs,344,56%
Avery James School of Cosmetology,76,open admission
Avi Career Training,6,open admission
Aviation Institute of Maintenance,168,open admission
Aviation Institute of Maintenance-Atlanta,707,open admission
Aviation Institute of Maintenance-Chesapeake,183,open admission
Aviation Institute of Maintenance-Dallas,479,open admission
Aviation Institute of Maintenance-Houston,289,open admission
Aviation Institute of Maintenance-Indianapolis,132,open admission
Aviation Institute of Maintenance-Kansas City,145,open admission
Aviation Institute of Maintenance-Las Vegas,284,open admission
Aviation Institute of Maintenance-Manassas,203,open admission
Aviation Institute of Maintenance-Orlando,266,open admission
Aviation Institute of Maintenance-Philadelphia,274,open admission
Aviator College of Aeronautical Science and Technology,259,open admission
Avila University,1272,39%
AVTEC-Alaska's Institute of Technology,967,open admission
Award Beauty School,157,open admission
Ayers Career College,135,open admission
Azusa Pacific University,5671,60%
Azusa Pacific University College,1939,open admission
B M Spurr School of Practical Nursing,35,50%
B-Unique Beauty and Barber Academy,41,open admission
Babson College,2342,24%
Bacone College,934,73%
Bainbridge State College,1746,open admission
Bais Binyomin Academy,25,80%
Bais HaMedrash and Mesivta of Baltimore,77,100%
Bais Medrash Elyon,38,not reported
Bais Medrash Mayan Hatorah,53,83%
Bais Medrash Toras Chesed,105,57%
Baker College,11603,open admission
Baker University,1771,86%
Bakersfield College,23195,open admission
Bakke Graduate University,0,not reported
Baldwin Beauty School-North Austin,94,open admission
Baldwin Beauty School-South Austin,77,open admission
Baldwin Park Adult & Community Education,400,open admission
Baldwin Wallace University,3183,78%
Baldy View Regional Occupational Program,48,open admission
Ball State University,17004,62%
Baltimore City Community College,4188,open admission
Baltimore School of Massage-Linthicum,458,open admission
Baltimore School of Massage-York,78,open admission
Baltimore Studio of Hair Design,46,open admission
Bancroft School of Massage Therapy,51,57%
Bank Street College of Education,0,not reported
Baptist Bible College,268,open admission
Baptist Health College-Little Rock,676,69%
Baptist Health System School of Health Professions,658,not reported
Baptist Memorial College of Health Sciences,1075,54%
Baptist Missionary Association Theological Seminary,67,100%
Baptist Theological Seminary at Richmond,0,not reported
Baptist University of the Americas,177,open admission
Barber Institute of Texas,6,open admission
Barber School of Pittsburgh,78,not reported
Barber Tech Academy,50,open admission
Barclay College,229,67%
Bard College,1938,58%
Bard College at Simon's Rock,401,66%
Barnard College,2544,15%
Barnes-Jewish College Goldfarb School of Nursing,569,not reported
Barrett and Company School of Hair Design,70,open admission
Barry University,3505,85%
Barstow Community College,3077,open admission
Barton College,887,39%
Barton County Community College,4228,open admission
Bastyr University,197,not reported
Bates College,1787,22%
Bates Technical College,3448,open admission
Baton Rouge Community College,7908,open admission
Baton Rouge General Medical Center-School of Nursing,101,not reported
Baton Rouge School of Computers,58,open admission
Bay Area Medical Academy,143,open admission
Bay de Noc Community College,1853,open admission
Bay Mills Community College,448,open admission
Bay Path University,1947,63%
Bay State College,717,44%
Bay State School of Technology,120,open admission
Bayamon Community College,112,open admission
Baylor College of Medicine,0,not reported
Baylor University,14316,39%
Bayshire Academy of Beauty Craft Inc,37,open admission
BCI,122,open admission
Be'er Yaakov Talmudic Seminary,510,not reported
Beacon College,348,53%
Beal College,248,open admission
Beau Monde College of Hair Design,-9999,open admission
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,110,open admission
Beaufort County Community College,1500,open admission
Beaumont Adult School,60,open admission
Beauty Academy,-9999,open admission
Beauty Academy of South Florida,241,open admission
Beauty Anatomy Institute of Cosmetology and Wellness,46,open admission
Beauty School of Middletown,56,open admission
Beauty Schools of America,81,open admission
Beauty Schools of America-Hialeah,322,open admission
Beauty Schools of America-Homestead,261,open admission
Beauty Schools of America-Miami,221,open admission
Beauty Schools of America-North Miami Beach,153,open admission
Beauty Technical College Inc,30,open admission
Beaux Cheveux Academy Of Cosmetology,-9999,open admission
Beaver Falls Beauty Academy,36,open admission
Becker College,1882,69%
Beckfield College-Florence,617,open admission
Beckfield College-Tri-County,277,open admission
Beis Medrash Heichal Dovid,110,69%
Bel-Rea Institute of Animal Technology,321,33%
Belanger School of Nursing,114,20%
Belhaven University,2482,59%
Bell Mar Beauty College,82,open admission
Bella Academy of Cosmetology,25,open admission
Bella Capelli Academy,181,open admission
Bella Cosmetology College,73,open admission
Bellarmine University,2544,89%
Belle Academy of Cosmetology,-9999,open admission
Bellevue College,13322,open admission
Bellevue University,5744,open admission
Bellin College,395,89%
Bellingham Technical College,2392,open admission
Bellus Academy,191,open admission
Bellus Academy-El Cajon,155,open admission
Bellus Academy-National City,200,open admission
Bellus Academy-Poway,387,open admission
Belmont Abbey College,1555,99%
Belmont College,1150,open admission
Belmont University,6497,81%
Beloit College,1402,54%
Bemidji State University,4815,66%
Ben Franklin Career Center,53,open admission
Bene's Career Academy,305,open admission
Benedict College,2090,open admission
Benedictine College,2085,97%
Benedictine University,2884,62%
Benjamin Franklin Institute of Technology,609,open admission
Bennett Career Institute,312,open admission
Bennett College,493,89%
Bennington College,775,57%
Bentley University,4272,44%
Berea College,1670,35%
Bergen Community College,14062,open admission
Bergin University of Canine Studies,41,not reported
Berk Trade and Business School,220,open admission
Berkeley City College,6356,open admission
Berkeley College-New York,3635,open admission
Berkeley College-Woodland Park,3353,open admission
Berklee College of Music,6282,53%
Berks Career & Technology Center,44,open admission
Berks Technical Institute,724,open admission
Berkshire Community College,1847,open admission
Berry College,1978,62%
Best Care College,48,open admission
Bet Medrash Gadol Ateret Torah,93,86%
Beth Hamedrash Shaarei Yosher Institute,54,96%
Beth Hatalmud Rabbinical College,11,60%
Beth Medrash Govoha,2629,not reported
Beth Medrash Meor Yitzchok,129,67%
Beth Medrash of Asbury Park,47,87%
Bethany College,601,94%
Bethany College,775,67%
Bethany Global University,298,96%
Bethany Lutheran College,651,79%
Bethany Theological Seminary,0,not reported
Bethel College,39,open admission
Bethel College-Indiana,1330,90%
Bethel College-North Newton,503,56%
Bethel Seminary-San Diego,0,not reported
Bethel Seminary-St Paul,0,not reported
Bethel University,4829,94%
Bethel University,2901,83%
Bethesda University,257,open admission
Bethlehem College & Seminary,121,93%
Bethune-Cookman University,3992,open admission
Beulah Heights University,276,open admission
Beverly Hills Design Institute,18,60%
Bevill State Community College,3872,open admission
"Bexley Hall Seabury Western Theological Seminary Federation, Inc.",0,not reported
Beyond 21st Century Beauty Academy,60,open admission
Beyond Measure Barbering Institute,40,open admission
Beyond The Basics School of Cosmetology,22,open admission
Biblical Theological Seminary,0,not reported
Bidwell Training Center Inc,141,85%
Big Bend Community College,1975,open admission
Big Bend Technical College,164,open admission
Big Sandy Community and Technical College,4346,open admission
Binghamton University,13737,40%
Biola University,4048,72%
Birmingham Southern College,1283,62%
Birthingway College of Midwifery,58,not reported
Birthwise Midwifery School,76,not reported
Bishop State Community College,3233,open admission
Bismarck State College,3756,open admission
Bitterroot School of Cosmetology,37,open admission
BJ's Beauty & Barber College,13,open admission
BJ's Beauty & Barber College,64,open admission
Black Hawk College,4926,open admission
Black Hills Beauty College,76,open admission
Black Hills State University,3947,87%
Black River Technical College,1530,open admission
Blackburn College,554,60%
Blackfeet Community College,375,open admission
Blackhawk Technical College,2098,open admission
Blackstone Valley Vocational Regional School District,51,open admission
Bladen Community College,1141,open admission
Blades School of Hair Design,72,open admission
Blake Austin College,299,open admission
Blalock's Professional Beauty College,12,open admission
Blessing Hospital School of Medical Laboratory Technology,6,not reported
Blessing Hospital School of Radiologic Technology,18,not reported
Blessing Rieman College of Nursing and Health Sciences,272,not reported
Blinn College,19476,open admission
Bloomfield College,1839,64%
Bloomsburg University of Pennsylvania,8579,73%
Blue Cliff Career College,69,96%
Blue Cliff College-Alexandria,535,not reported
Blue Cliff College-Fayetteville,228,not reported
Blue Cliff College-Gulfport,313,not reported
Blue Cliff College-Houma,246,not reported
Blue Cliff College-Lafayette,284,not reported
Blue Cliff College-Metairie,866,not reported
Blue Cliff College-Shreveport,51,not reported
Blue Hills Regional Technical School,56,10%
Blue Mountain College,588,100%
Blue Mountain Community College,1417,open admission
Blue Ridge Community and Technical College,5708,open admission
Blue Ridge Community College,2122,open admission
Blue Ridge Community College,4200,open admission
Bluefield College,948,91%
Bluefield State College,1379,81%
Bluegrass Community and Technical College,9478,open admission
Bluffton University,739,49%
-9999,-9999,-9999
Bob Jones University,2606,86%
Boca Beauty Academy,84,open admission
Boca Beauty Academy-Parkland,111,open admission
Boise Barber College,53,open admission
Boise Bible College,130,100%
Boise State University,20744,84%
Bold Beauty Academy,107,open admission
Bolivar Technical College,119,78%
Bon Secours Memorial College of Nursing,477,not reported
Bon Secours St Mary's Hospital School of Medical Imaging,30,not reported
Bonnie Joseph Academy of Cosmetology & Barbering,8,open admission
Boricua College,769,open admission
Borner's Barber College,34,open admission
Bos-Man's Barber College,49,open admission
Bossier Parish Community College,6734,open admission
Boston Architectural College,344,open admission
Boston Baptist College,80,73%
Boston College,9921,32%
Boston Graduate School of Psychoanalysis Inc,0,not reported
Boston University,18080,25%
Bowdoin College,1816,14%
Bowie State University,5187,36%
Bowling Green State University-Firelands,1970,open admission
Bowling Green State University-Main Campus,14680,73%
Bradford School,368,open admission
Bradford School,352,91%
Bradford-Union Technical Center,90,open admission
Bradley University,4649,71%
-9999,-9999,-9999
Brand College,29,not reported
Brandeis University,3635,34%
Brandman University,3677,68%
Branford Academy of Hair and Cosmetology,22,open admission
Branford Hall Career Institute-Albany Campus,140,open admission
Branford Hall Career Institute-Amityville,252,open admission
Branford Hall Career Institute-Bohemia Campus,265,open admission
Branford Hall Career Institute-Branford Campus,188,open admission
Branford Hall Career Institute-Jersey City,146,open admission
Branford Hall Career Institute-North Brunswick,87,open admission
Branford Hall Career Institute-Parsippany,44,open admission
Branford Hall Career Institute-Southington Campus,212,open admission
Branford Hall Career Institute-Springfield Campus,252,open admission
Branford Hall Career Institute-Windsor Campus,83,open admission
Brazosport College,4245,open admission
Brenau University,1736,66%
Brescia University,1175,42%
